Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
1,27,054.0 056.0,19-4903CR-HY-060-0930-05400560-0700A-7,700,5.010000,34.21000,,27.05400,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,700.0000,5.010000,4.950000,34.21000,27.05000,107.8000,1.080000,,,,,,,,,,706,,,,,,,,
1,28,054.0 056.0,19-4903CR-HY-060-0930-05400560-0800A-7,800,4.720000,34.26100,,27.12800,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,800.0000,4.720000,4.660000,34.26100,27.12000,101.5000,1.180000,,,,,,,,,,807,,,,,,,,
1,29,054.0 056.0,19-4903CR-HY-060-0930-05400560-0896A-3,896,4.440000,34.31000,,27.19800,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,896.0000,4.440000,4.370000,34.31000,27.19000,95.40000,1.280000,,,,,,,,,,904,,,,,,,,
2,30,052.0 075.0,19-4903CR-HY-060-2112-05200750-0000B-3,0,10.10000,32.95000,,25.33500,,,,3,1,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.000000,10.10000,10.10000,32.95000,25.33000,262.9000,0.000000,,,,,,,,,,0,,,,,,,,
2,31,052.0 075.0,19-4903CR-HY-060-2112-05200750-0010A-3,10,9.890000,32.94000,,25.36300,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.00000,9.890000,9.890000,32.94000,25.36000,260.5000,0.020000,,,,,,,,,,10,,,,,,,,
2,32,052.0 075.0,19-4903CR-HY-060-2112-05200750-0020A-7,20,9.750000,32.93900,,25.38500,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.00000,9.750000,9.750000,32.93900,25.38000,258.6000,0.050000,,,,,,,,,,20,,,,,,,,
2,33,052.0 075.0,19-4903CR-HY-060-2112-05200750-0024A-3,24,9.690000,32.95000,,25.40400,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,24.00000,9.690000,9.690000,32.95000,25.40000,256.9000,0.060000,,,,,,,,,,24,,,,,,,,
2,34,052.0 075.0,19-4903CR-HY-060-2112-05200750-0030A-7,30,9.520000,33.01300,,25.48000,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.00000,9.520000,9.520000,33.01300,25.48000,249.7000,0.070000,,,,,,,,,,30,,,,,,,,
2,35,052.0 075.0,19-4903CR-HY-060-2112-05200750-0047A-3,47,9.060000,33.24000,,25.73200,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,47.00000,9.060000,9.050000,33.24000,25.73000,226.1000,0.110000,,,,,,,,,,47,,,,,,,,
2,36,052.0 075.0,19-4903CR-HY-060-2112-05200750-0050A-7,50,9.040000,33.27200,,25.76000,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.00000,9.040000,9.030000,33.27200,25.76000,223.5000,0.120000,,,,,,,,,,50,,,,,,,,
